"","taxa"
"1","Ellychnia_corrusca"
"2","Cicindela_campestris"
"3","Photinus_pyralis"
"4","Photinus_marginellus"
"5","Melaleuca_quinquenervia"
"6","Melaleuca_decora"
"7","Pyractonema_angulata"
"8","Chauliognathus_pennsylvanicus"
"9","Chauliognathus"
"10","Tabanus_catenatus"
"11","Grammoptera"
"12","Lactuca_sativa"
"13","Photuris_lucicrescens"
"14","Plecia"
"15","Bombus"
"16","Tabanus_abactor"
"17","Gopherus_agassizii"
"18","Gopherus polyphemus"
"19","Alligator_mississippiensis"
"20","Capra aegagrus"
"21","Meleagris_gallopavo"
"22","Columba"
"23","Homo_sapiens"
"24","Bos_taurus"
"25","Panthera_leo"
"26","Gallus_gallus"
"27","Cercopithecus_aethiops"
"28","Tinca_tinca"
"29","Canis_familiaris"
"30","Mus_musculus"
"31","Phoca_vitulina"
"32","Sturnus_vulgaris"
"33","Felis_domestica"
"34","Panorpa_communis"
"35","Apis_mellifera"
"36","Atrichopogon_geminus"
"37","Atrichopogon_levis"
"38","Cantharis_bilineatus"
"39","Chrysops"
"40","Neoaliturus_haematoceps"
"41","Cotinis_nitida"
"42","Aedes_sollicitans"
"43","Diabrotica_undecimpunctata"
"44","Culex_annulus"
"45","Eriocheir_sinensis"
"46","Liriodendron_tulipifera"
"47","Tabanus_gladiator"
"48","Bidens"
"49","Ixodes_pacificus"
"50","Dalbulus_maidis"
"51","Photuris_pennsylvanicus"
"52","Leptinotarsa_decemlineata"
"53","Leucoma_salicis"
"54","Tabanus_lineola"
"55","Tabanus_nigrovittatus"
"56","Haemaphysalis_leporispalustris"
"57","Monobia_quadridens"
"58","Hybomitra_opaca"
"59","Penaeus_vannamei"
"60","Macrosteles_fascifrons"
"61","Pachydiplax_longipennis"
"62","Drosophila_willistoni"
"63","Aedes_sticticus"
"64","Aedes_vexans"
"65","Trigonotylus_ruficornis"
"66","Cocos_nucifera"
"67","Prunus"
"68","Eristalis_arbustorum"
"69","Tabanus_abdominalis"
"70","Culex_tritaeniorhynchus"
"71","Haematopota"
