"","T.minor","T.barbarae","G.setzeri","G.cherriei","G.panamensis","G.costaricensis","G.chapini","G.thomomyus","G.actuosi","G.expansus","G.perotensis","G.trichopi","G.nadleri","G.texanus","G.oklahomensis","G.ewingi","G.geomydis"
"T.talpoides",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"T.bottae",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O.underwoodi",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O.hispidus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"O.cavator",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"O.cherriei",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"O.heterodus",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"G.breviceps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"G.personatus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"G.bursarius_majus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"G.bursarius_halli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C.castanops",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"C.merriami",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"P.bulleri",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Z.trichopus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
